Date,Open,High,Low,Close,Adj Close,Volume
2017-01-17,42.709999,43.000000,42.439999,42.459999,38.052177,3511000
2017-01-18,42.939999,43.549999,42.830002,43.330002,38.831863,4121200
2017-01-19,43.119999,43.240002,42.700001,43.009998,38.545082,1832700
2017-01-20,42.369999,43.080002,42.360001,42.930000,38.473389,2422700
2017-01-23,43.570000,43.869999,43.450001,43.810001,39.262039,2830700
2017-01-24,45.419998,45.919998,45.310001,45.700001,40.955830,5937300
2017-01-25,45.070000,46.040001,44.939999,45.959999,41.188839,5233300
2017-01-26,45.049999,45.299999,44.610001,44.860001,40.203030,3439900
2017-01-27,45.009998,45.389999,44.860001,45.349998,40.642162,2939000
2017-01-30,44.590000,44.830002,44.139999,44.389999,39.781826,2872600
2017-01-31,45.090000,45.119999,44.349998,44.790001,40.140301,2654900
2017-02-01,45.110001,45.570000,44.830002,45.439999,40.722824,3194100
2017-02-02,44.689999,44.860001,44.369999,44.610001,39.978985,3291200
2017-02-03,43.259998,43.349998,42.650002,42.669998,38.240376,5409600
2017-02-06,42.459999,42.820000,42.349998,42.779999,38.338959,7227500
2017-02-07,43.130001,43.439999,42.939999,43.020000,38.554047,5102700
2017-02-08,42.730000,43.130001,42.439999,42.939999,38.482349,3627700
2017-02-09,42.650002,43.189999,42.410000,43.139999,38.661591,4377800
2017-02-10,44.090000,45.410000,44.060001,45.410000,40.695934,5837100
2017-02-13,46.080002,47.110001,46.060001,46.650002,41.807213,10257300
2017-02-14,46.099998,46.340000,45.700001,46.250000,41.448734,3537500
2017-02-15,46.119999,46.349998,45.840000,45.930000,41.161957,2168600
2017-02-16,46.180000,46.299999,45.910000,46.130001,41.341194,2409500
2017-02-17,45.290001,45.500000,45.119999,45.500000,40.776592,2245600
2017-02-21,45.990002,46.240002,45.880001,46.150002,41.359119,3233300
2017-02-22,43.959999,44.549999,43.930000,44.340000,40.850559,2902800
2017-02-23,44.490002,44.570000,42.439999,42.509998,39.164574,10057400
2017-02-24,41.509998,42.209999,41.250000,41.689999,38.409103,6574600
2017-02-27,41.700001,42.400002,41.650002,41.830002,38.538090,4609200
2017-02-28,41.389999,41.689999,41.349998,41.520000,38.252487,2896500
2017-03-01,42.270000,43.020000,42.130001,42.910000,39.533096,4902400
2017-03-02,42.490002,42.639999,41.150002,41.230000,37.985306,4255700
2017-03-03,41.389999,41.810001,41.250000,41.790001,38.501236,2590300
2017-03-06,40.830002,40.919998,40.529999,40.680000,37.478592,3035200
2017-03-07,41.000000,41.060001,40.590000,40.619999,37.423309,3483500
2017-03-08,41.029999,41.070000,39.730000,39.900002,36.759972,8132500
2017-03-09,39.439999,39.810001,39.130001,39.410000,36.308537,5291700
2017-03-10,39.799999,39.959999,39.060001,39.389999,36.290112,4955000
2017-03-13,40.790001,41.029999,40.650002,40.849998,37.635208,3743300
2017-03-14,40.299999,40.900002,39.930000,40.549999,37.358818,3521100
2017-03-15,41.540001,43.099998,41.189999,43.060001,39.671291,7646500
2017-03-16,43.400002,43.480000,42.860001,42.930000,39.551521,6785500
2017-03-17,43.320000,43.459999,42.980000,43.029999,39.643650,3210900
2017-03-20,43.070000,43.340000,42.869999,43.259998,39.855549,2175700
2017-03-21,42.930000,43.060001,40.980000,41.009998,37.782619,6132400
2017-03-22,41.200001,41.799999,40.990002,41.560001,38.289341,3774000
2017-03-23,41.419998,41.680000,41.060001,41.330002,38.077438,2742400
2017-03-24,41.320000,41.400002,40.580002,40.840000,37.625999,6281500
2017-03-27,39.919998,40.320000,39.450001,40.230000,37.064003,5055900
2017-03-28,40.310001,41.099998,40.270000,40.860001,37.644428,3192800
2017-03-29,40.560001,41.070000,40.509998,40.880001,37.662853,3056500
2017-03-30,41.160000,41.500000,41.029999,41.080002,37.847111,2920500
2017-03-31,40.349998,40.919998,40.139999,40.680000,37.478592,2423600
2017-04-03,40.799999,41.020000,40.099998,40.470001,37.285118,2671400
